"","VISIT_ID","SITE_ID","VISIT_NO","DATE_COL","NTL_PPM","PTL_PPB","SITE_TYPE","ECO_REG","ECO_REG_NAME","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","tn.tp","TN_mol","TP_mol"
"806",2010997,"NLA17_UT-10004",1,"7-Jun-17",0.51,21.75125,"PROB","XER","Xeric",-112.0893,41.37759,"Region_08",16.64512951,"Urban","MAN_MADE",3987.606,1288,"H16020102","NLA_UT-10043",51.8483313991859,3.64103662454487e-05,7.02247599158426e-07
"807",2010998,"NLA17_SD-10025",1,"7-Jun-17",0.78,26.0625,"PROB","NPL","Northern Plains",-101.6482,44.32485,"Region_08",41.05143967,"Non-Urban","MAN_MADE",4.248166,718,"H10120112","NLA_SD-10189",66.1800907930824,5.56864424930392e-05,8.41437988762323e-07
"808",2011000,"NLA17_MI-10087",1,"8-Jun-17",0.628,8.235,"PROB","UMW","Upper Midwest",-83.75838,42.60472,"Region_05",64.48416208,"Urban","NATURAL",11.67944,291,"H04090004","NLA_MI-10179",168.633893953743,4.48347254943957e-05,2.65870190406052e-07
"809",2011001,"NLA17_LA-10007",1,"8-Jun-17",1.456,236.06125,"PROB","CPL","Coastal Plains",-91.16672,30.4245,"Region_06",145.5272024,"Urban","MAN_MADE",17.39468,6,"H09030001","NLA_LA-10137",13.6390933161773,0.000103948025987006,7.621329627807e-06
"810",2011002,"NLA17_MI-10123",1,"8-Jun-17",0.749,26.85125,"PROB","UMW","Upper Midwest",-83.53376,42.60619,"Region_05",58.01738359,"Urban","NATURAL",5.574532,285,"H04090005","NLA_MI-10215",61.6830923263009,5.34732633683158e-05,8.66903090484579e-07
"811",2011003,"NLA17_MO-HP005",1,"8-Jun-17",2.094,56.62875,"HAND","TPL","Temperate Plains",-91.76600531,40.49704458,"Region_07",0,"Non-Urban","MAN_MADE",31.245676,177.89,"H07110001","NLA_MO-10090",81.7689705843021,0.000149496680231313,1.82828130479134e-06
"812",2011004,"NLA17_FL-10004",1,"7-Jun-17",1.241,50.71625,"PROB","CPL","Coastal Plains",-81.70722,28.09205,"Region_04",51.42246091,"Urban","NATURAL",289.8131,38,"H03100101","NLA_FL-10061",54.1094943857886,8.85985578639252e-05,1.6373939337196e-06
"813",2011005,"NLA17_UT-10028",1,"9-Jun-17",1.356,219.365,"PROB","XER","Xeric",-111.9504,40.71092,"Region_08",35.23686852,"Urban","NATURAL",11.81867,1289,"H16020204","NLA_UT-10328",13.669139677026,9.68087384878989e-05,7.0822846774042e-06
"814",2011006,"NLA17_MI-10091",1,"9-Jun-17",1.234,16.73125,"PROB","UMW","Upper Midwest",-84.14928,42.17863,"Region_05",58.01738359,"Non-Urban","NATURAL",9.437614,293,"H04100002","NLA_MI-10183",163.093104413296,8.80988077389876e-05,5.40174939068762e-07
"815",2011007,"NLA17_NJ-10001",1,"12-Jun-17",0.786,32.74,"PROB","NAP","Northern Appalachians",-74.78413,40.95091,"Region_02",36.69790049,"Urban","MAN_MADE",22.72408,175,"H02040105","NLA_NJ-10006",53.0875519793729,5.61147997429857e-05,1.05702368353299e-06
"816",2011008,"NLA17_MI-10005",1,"12-Jun-17",0.823,13.69625,"PROB","UMW","Upper Midwest",-85.57428,42.18639,"Region_05",64.61042882,"Urban","NATURAL",131.8145,259,"H03180004","NLA_MI-10046",132.876135495683,5.87563361176555e-05,4.42188779034474e-07
"817",2011009,"NLA17_SD-10012",1,"12-Jun-17",4.306,339.24125,"PROB","NPL","Northern Plains",-103.0033,44.87109,"Region_08",149.9265215,"Non-Urban","MAN_MADE",4.625207,848,"H10120113","NLA_SD-10146",28.0681765095316,0.000307417719711573,1.09525362150683e-05
"818",2011010,"NLA17_MI-10007",1,"12-Jun-17",1.836,19.9675,"PROB","UMW","Upper Midwest",-85.31406,41.94279,"Region_05",7.291671591,"Non-Urban","MAN_MADE",195.7959,258,"H04050001","NLA_MI-10013",203.328291776514,0.000131077318483615,6.44658533932343e-07
"819",2011011,"NLA17_VA-HP006",1,"13-Jun-17",0.243,11.705,"HAND","SAP","Southern Appalachians",-81.80846875,36.95945142,"Region_03",0,"Non-Urban","MAN_MADE",133.2757,1078.72,"H05140204","NLA_VA-10033",45.907504327497,1.73484686228314e-05,3.77900495288748e-07
"820",2011012,"NLA17_SD-10033",1,"13-Jun-17",1.311,453.7275,"PROB","NPL","Northern Plains",-103.5855,45.60268,"Region_08",201.5666828,"Non-Urban","MAN_MADE",1.318151,886,"H10130302","NLA_SD-10197",6.38934615804885,9.35960591133005e-05,1.46487694981739e-05
"821",2011013,"NLA17_WI-10013",1,"13-Jun-17",2.66,14.1,"PROB","UMW","Upper Midwest",-90.95935,43.53712,"Region_05",23.79891923,"Urban","MAN_MADE",14.82935,277,"H07080204","NLA_WI-10092",417.168350549548,0.000189905047476262,4.55224005431127e-07
"822",2011014,"NLA17_MI-10003",1,"13-Jun-17",0.67,17.08125,"PROB","UMW","Upper Midwest",-86.0448,42.37793,"Region_05",64.61042882,"Non-Urban","NATURAL",109.073,202,"H04050001","NLA_MI-10066",86.736917103771,4.78332262440208e-05,5.514748257284e-07
"823",2011015,"NLA17_MI-10013",1,"13-Jun-17",0.37,9.26875,"PROB","UMW","Upper Midwest",-85.70757,42.20474,"Region_05",285.9691114,"Urban","NATURAL",59.29438,271,"H04080204","NLA_MI-10095",88.2733043593606,2.64153637466981e-05,2.99245212790054e-07
"824",2011016,"NLA17_VA-10049",1,"14-Jun-17",0.158,7.59375,"HAND","SAP","Southern Appalachians",-80.07971,36.80776,"Region_03",0,"Non-Urban","MAN_MADE",1170.622,296,"H03010103","NLA_VA-10005",46.0097231401607,1.128007424859e-05,2.45167183776073e-07
"825",2011017,"NLA17_SD-10042",1,"14-Jun-17",2.179,32.64,"PROB","TPL","Temperate Plains",-97.20922,45.6082,"Region_08",40.98258988,"Non-Urban","NATURAL",8.17914,595,"H10160003","NLA_SD-10206",147.623639584361,0.000155565074605554,1.05379514448738e-06
"826",2011018,"NLA17_WI-10078",1,"14-Jun-17",0.691,23.5,"PROB","TPL","Temperate Plains",-88.517,42.81315,"Region_05",67.42055614,"Non-Urban","NATURAL",22.51546,262,"H07120007","NLA_WI-10153",65.021803811219,4.93324766188334e-05,7.58706675718546e-07
"827",2011019,"NLA17_SD-10016",1,"14-Jun-17",1.776,93.6675,"PROB","NPL","Northern Plains",-102.4045,45.46677,"Region_08",5.226077106,"Non-Urban","MAN_MADE",55.0062,794,"H10130306","NLA_SD-10142",41.927875847524,0.000126793745984151,3.02409181054753e-06
"828",2011020,"NLA17_UT-10003",1,"14-Jun-17",2.058,142.31125,"PROB","XER","Xeric",-109.1837,40.72481,"Region_08",77.97979533,"Non-Urban","MAN_MADE",43.28528,2185,"H14040106","NLA_UT-10055",31.9782700237405,0.000146926536731634,4.59457427254685e-06
"829",2011021,"NLA17_IL-10001",1,"14-Jun-17",0.771,22.195,"PROB","TPL","Temperate Plains",-88.10332,42.19773,"Region_05",288.2199626,"Urban","NATURAL",88.50454,257,"H07070003","NLA_IL-10025",76.8153576494603,5.50439066181195e-05,7.16574241173324e-07
"830",2011022,"NLA17_VA-10007",1,"15-Jun-17",0.716,33.06875,"PROB","SAP","Southern Appalachians",-78.42807,37.97548,"Region_03",1651.080988,"Non-Urban","MAN_MADE",1.10443,112,"H02080204","NLA_VA-10040",47.8788898135494,5.11172984936103e-05,1.06763750564543e-06
"831",2011023,"NLA17_FL-10008",1,"15-Jun-17",2.305,168.545,"PROB","CPL","Coastal Plains",-81.49335,26.42267,"Region_04",113.0750906,"Urban","NATURAL",605.4412,5,"H03090204","NLA_FL-10099",30.2415387092035,0.00016456057685443,5.44154113442478e-06
"832",2011024,"NLA17_VA-HP004",1,"15-Jun-17",0.23,9.7875,"HAND","SAP","Southern Appalachians",-80.86760868,37.0434,"Region_03",0,"Urban","MAN_MADE",73.70336,657.7,"H05050008","NLA_VA-10009",51.9642770079292,1.64203612479475e-05,3.1599325908916e-07
